,Columns
0,AARTIDRUGS.NS.Adjusted
1,ABAN.NS.Adjusted
2,ADVANIHOTR.NS.Adjusted
3,ALBK.NS.Adjusted
4,ALLCARGO.NS.Adjusted
5,AMBIKCO.NS.Adjusted
6,AMDIND.NS.Adjusted
7,ASAHIINDIA.NS.Adjusted
8,ASAL.NS.Adjusted
9,ASHAPURMIN.NS.Adjusted
10,ASIANHOTNR.NS.Adjusted
11,ASTRAMICRO.NS.Adjusted
12,BAJAJELEC.NS.Adjusted
13,BAJAJHLDNG.NS.Adjusted
14,BALAMINES.NS.Adjusted
15,BALKRISIND.NS.Adjusted
16,BBL.NS.Adjusted
17,BBTC.NS.Adjusted
18,BHARATRAS.NS.Adjusted
19,BHARTIARTL.NS.Adjusted
20,BHUSANSTL.NS.Adjusted
21,BIL.NS.Adjusted
22,BOMDYEING.NS.Adjusted
23,BRITANNIA.NS.Adjusted
24,BSELINFRA.NS.Adjusted
25,CALSOFT.NS.Adjusted
26,CANFINHOME.NS.Adjusted
27,CELEBRITY.NS.Adjusted
28,CESC.NS.Adjusted
29,CHAMBLFERT.NS.Adjusted
30,CIPLA.NS.Adjusted
31,CLNINDIA.NS.Adjusted
32,CONSOFINVT.NS.Adjusted
33,COUNCODOS.NS.Adjusted
34,CTE.NS.Adjusted
35,CUMMINSIND.NS.Adjusted
36,DCMSHRIRAM.NS.Adjusted
37,DENORA.NS.Adjusted
38,DHANBANK.NS.Adjusted
39,DHFL.NS.Adjusted
40,DICIND.NS.Adjusted
41,DLF.NS.Adjusted
42,DREDGECORP.NS.Adjusted
43,EASUNREYRL.NS.Adjusted
44,ECEIND.NS.Adjusted
45,EIHOTEL.NS.Adjusted
46,EIMCOELECO.NS.Adjusted
47,ELECTHERM.NS.Adjusted
48,ENIL.NS.Adjusted
49,FDC.NS.Adjusted
50,FEDERALBNK.NS.Adjusted
51,FINCABLES.NS.Adjusted
52,GAEL.NS.Adjusted
53,GANDHITUBE.NS.Adjusted
54,GARWALLROP.NS.Adjusted
55,GATI.NS.Adjusted
56,GEMINI.NS.Adjusted
57,GESHIP.NS.Adjusted
58,GKWLIMITED.NS.Adjusted
59,GLOBALVECT.NS.Adjusted
60,GLOBOFFS.NS.Adjusted
61,GOLDIAM.NS.Adjusted
62,GOLDINFRA.NS.Adjusted
63,GREAVESCOT.NS.Adjusted
64,GSS.NS.Adjusted
65,GUFICBIO.NS.Adjusted
66,HBLPOWER.NS.Adjusted
67,HEIDELBERG.NS.Adjusted
68,HEROMOTOCO.NS.Adjusted
69,HIL.NS.Adjusted
70,HINDOILEXP.NS.Adjusted
71,HINDPETRO.NS.Adjusted
72,HINDSYNTEX.NS.Adjusted
73,HTMEDIA.NS.Adjusted
74,ICICIBANK.NS.Adjusted
75,IDFC.NS.Adjusted
76,IFBAGRO.NS.Adjusted
77,IIFL.NS.Adjusted
78,INDIACEM.NS.Adjusted
79,INDIANCARD.NS.Adjusted
80,INDOTECH.NS.Adjusted
81,INDSWFTLAB.NS.Adjusted
82,INGERRAND.NS.Adjusted
83,ITDCEM.NS.Adjusted
84,IVRCLINFRA.NS.Adjusted
85,JAINSTUDIO.NS.Adjusted
86,JAYSREETEA.NS.Adjusted
87,JINDALSTEL.NS.Adjusted
88,JKCEMENT.NS.Adjusted
89,JKTYRE.NS.Adjusted
90,JYOTISTRUC.NS.Adjusted
91,KAKATCEM.NS.Adjusted
92,KANORICHEM.NS.Adjusted
93,KEC.NS.Adjusted
94,KERNEX.NS.Adjusted
95,KNRCON.NS.Adjusted
96,KOLTEPATIL.NS.Adjusted
97,KPIT.NS.Adjusted
98,LOKESHMACH.NS.Adjusted
99,MADHUCON.NS.Adjusted
100,MARALOVER.NS.Adjusted
101,MARICO.NS.Adjusted
102,MCDHOLDING.NS.Adjusted
103,MEGASOFT.NS.Adjusted
104,MMFL.NS.Adjusted
105,MOTILALOFS.NS.Adjusted
106,MRPL.NS.Adjusted
107,MTNL.NS.Adjusted
108,MUKANDENGG.NS.Adjusted
109,NAHARPOLY.NS.Adjusted
110,NAVINFLUOR.NS.Adjusted
111,NDTV.NS.Adjusted
112,NETWORK18.NS.Adjusted
113,NIITLTD.NS.Adjusted
114,NIPPOBATRY.NS.Adjusted
115,NITINSPIN.NS.Adjusted
116,NMDC.NS.Adjusted
117,NUCLEUS.NS.Adjusted
118,ORIENTLTD.NS.Adjusted
119,PANACEABIO.NS.Adjusted
120,PARACABLES.NS.Adjusted
121,PATELENG.NS.Adjusted
122,PBAINFRA.NS.Adjusted
123,PDUMJEIND.NS.Adjusted
124,PETRONENGG.NS.Adjusted
125,PFC.NS.Adjusted
126,PIONEEREMB.NS.Adjusted
127,PITTILAM.NS.Adjusted
128,PONNIERODE.NS.Adjusted
129,PRAENG.NS.Adjusted
130,PRAKASH.NS.Adjusted
131,PUNJLLOYD.NS.Adjusted
132,RANASUG.NS.Adjusted
133,RECLTD.NS.Adjusted
134,RELIGARE.NS.Adjusted
135,RJL.NS.Adjusted
136,RMCL.NS.Adjusted
137,SAGCEM.NS.Adjusted
138,SELAN.NS.Adjusted
139,SHREYANIND.NS.Adjusted
140,SHRIRAMEPC.NS.Adjusted
141,SIYSIL.NS.Adjusted
142,SKFINDIA.NS.Adjusted
143,SOTL.NS.Adjusted
144,SPARC.NS.Adjusted
145,SRF.NS.Adjusted
146,SRTRANSFIN.NS.Adjusted
147,SSWL.NS.Adjusted
148,STERTOOLS.NS.Adjusted
149,SUNDARMFIN.NS.Adjusted
150,SUNDRMFAST.NS.Adjusted
151,SUNILHITEC.NS.Adjusted
152,SUPREMEIND.NS.Adjusted
153,SURANAT&P.NS.Adjusted
154,SURYAROSNI.NS.Adjusted
155,TANTIACONS.NS.Adjusted
156,TATACOFFEE.NS.Adjusted
157,TCI.NS.Adjusted
158,TECHNO.NS.Adjusted
159,TIL.NS.Adjusted
160,TIMETECHNO.NS.Adjusted
161,TIMKEN.NS.Adjusted
162,TIRUMALCHM.NS.Adjusted
163,TNPETRO.NS.Adjusted
164,TNPL.NS.Adjusted
165,TRENT.NS.Adjusted
166,TRIVENI.NS.Adjusted
167,TULSI.NS.Adjusted
168,UNIONBANK.NS.Adjusted
169,UNITY.NS.Adjusted
170,VHL.NS.Adjusted
171,VIJAYABANK.NS.Adjusted
172,VIMTALABS.NS.Adjusted
173,VSTIND.NS.Adjusted
174,WELCORP.NS.Adjusted
175,WENDT.NS.Adjusted
176,WIPRO.NS.Adjusted
177,WSTCSTPAPR.NS.Adjusted
178,ZEEMEDIA.NS.Adjusted
179,ZENITHEXPO.NS.Adjusted
180,ZODJRDMKJ.NS.Adjusted
181,
